guid,tag
1584,positive
3660,positive
3898,positive
751,positive
3963,negative
3891,negative
312,positive
867,neutral
3268,negative
1697,negative
1791,negative
3701,positive
2055,negative
3914,positive
3572,negative
1660,neutral
2943,neutral
424,neutral
1285,positive
3039,positive
1642,positive
1111,positive
1539,negative
3401,positive
2098,positive
3400,neutral
4345,positive
1352,neutral
4681,positive
3005,negative
2362,positive
2154,positive
1512,positive
2677,neutral
848,neutral
1243,positive
3637,positive
1990,negative
2627,positive
948,positive
5039,positive
1587,negative
55,negative
4738,negative
4205,positive
3494,negative
2758,negative
479,positive
1898,negative
3046,positive
1088,positive
1039,negative
1875,positive
1100,negative
224,neutral
2585,negative
2888,negative
1309,negative
4693,positive
3651,negative
383,positive
1057,positive
2607,positive
3306,neutral
310,positive
2646,negative
1490,positive
4860,positive
1606,positive
3554,positive
3580,neutral
4947,positive
3889,positive
5,positive
2704,positive
3346,negative
2480,positive
3842,negative
4807,positive
3001,positive
4715,positive
4410,positive
1290,negative
4644,negative
4294,negative
4847,positive
2750,positive
1861,positive
4272,neutral
617,positive
1574,negative
2332,positive
1974,positive
3399,negative
3714,neutral
5092,positive
2709,neutral
1435,negative
4449,negative
2939,positive
1429,positive
145,positive
250,negative
4871,positive
1868,positive
1508,positive
4811,negative
3222,negative
566,negative
558,positive
38,positive
533,positive
2527,negative
2078,negative
3731,positive
124,positive
4774,negative
967,positive
3016,negative
2911,positive
4613,negative
4201,positive
4877,negative
4306,negative
3671,neutral
4255,positive
1105,positive
1806,neutral
3061,positive
1830,negative
3417,positive
60,positive
1933,positive
3022,negative
2635,positive
2815,neutral
1301,positive
575,negative
4925,positive
4112,positive
5127,positive
4795,negative
334,positive
3126,positive
912,neutral
3969,negative
3451,positive
3336,positive
923,neutral
2737,neutral
2443,positive
1312,negative
3505,neutral
2764,neutral
4580,positive
3854,positive
2570,negative
2989,neutral
2115,negative
3462,neutral
1699,negative
4898,positive
4138,neutral
1866,neutral
2915,positive
1635,negative
1908,positive
4030,positive
4771,positive
3248,positive
494,positive
3161,neutral
20,negative
3300,positive
4242,positive
1476,positive
1879,positive
1384,negative
1616,neutral
4376,positive
3884,negative
2026,negative
4291,positive
4790,neutral
657,positive
2873,positive
812,positive
2893,positive
3296,positive
126,positive
2469,positive
3206,positive
2019,positive
916,positive
4621,negative
1620,positive
184,positive
5017,positive
1201,positive
5111,positive
4417,negative
4431,negative
4434,positive
4920,negative
272,negative
279,positive
3020,positive
2325,negative
2858,positive
4288,positive
1596,positive
803,positive
4363,positive
1895,positive
3044,negative
4721,positive
698,positive
1426,positive
2016,positive
3745,negative
4903,negative
534,neutral
3650,positive
3371,positive
112,positive
176,positive
573,negative
4919,positive
3276,positive
480,negative
87,positive
911,positive
3705,positive
3082,positive
2537,negative
4450,positive
1497,positive
3083,positive
443,positive
2957,negative
2099,positive
2962,negative
460,negative
1918,negative
3052,positive
13,negative
863,positive
1252,positive
3570,negative
4684,positive
2046,positive
1537,positive
2555,positive
1052,positive
1713,positive
2597,positive
282,positive
3833,negative
4885,negative
4587,positive
1401,negative
1281,positive
2085,positive
565,positive
1205,positive
1560,negative
4064,positive
1036,positive
2606,positive
4777,positive
588,positive
609,negative
3279,neutral
3511,neutral
4796,neutral
2107,neutral
1106,negative
3395,positive
2546,positive
4678,positive
1000,positive
1048,positive
1059,negative
1485,negative
3195,negative
